"Data type","Cancer group/site","Year","Sex","Age group (years)","Count"
"Actual","Melanoma of the skin",1996,"Males","70–74",508
"Actual","Melanoma of the skin",1996,"Males","75–79",406
"Actual","Melanoma of the skin",1996,"Males","80–84",253
"Actual","Melanoma of the skin",1996,"Males","85–89",111
"Actual","Melanoma of the skin",1996,"Males","90+",38
"Actual","Melanoma of the skin",1997,"Males","00–04",1
"Actual","Melanoma of the skin",1997,"Males","05–09",2
"Actual","Melanoma of the skin",1997,"Males","10–14",10
"Actual","Melanoma of the skin",1997,"Males","15–19",37
"Actual","Melanoma of the skin",1997,"Males","20–24",91
"Actual","Melanoma of the skin",1997,"Males","25–29",148
"Actual","Melanoma of the skin",1997,"Males","30–34",185
"Actual","Melanoma of the skin",1997,"Males","35–39",238
"Actual","Melanoma of the skin",1997,"Males","40–44",290
"Actual","Melanoma of the skin",1997,"Males","45–49",423
"Actual","Melanoma of the skin",1997,"Males","50–54",476
"Actual","Melanoma of the skin",1997,"Males","55–59",425
"Actual","Melanoma of the skin",1997,"Males","60–64",432
"Actual","Melanoma of the skin",1997,"Males","65–69",544
"Actual","Melanoma of the skin",1997,"Males","70–74",600
"Actual","Melanoma of the skin",1997,"Males","75–79",430
"Actual","Melanoma of the skin",1997,"Males","80–84",243
"Actual","Melanoma of the skin",1997,"Males","85–89",94
"Actual","Melanoma of the skin",1997,"Males","90+",27
"Actual","Melanoma of the skin",1998,"Males","00–04",0
"Actual","Melanoma of the skin",1998,"Males","05–09",1
"Actual","Melanoma of the skin",1998,"Males","10–14",6
"Actual","Melanoma of the skin",1998,"Males","15–19",28
"Actual","Melanoma of the skin",1998,"Males","20–24",60
"Actual","Melanoma of the skin",1998,"Males","25–29",121
"Actual","Melanoma of the skin",1998,"Males","30–34",160
"Actual","Melanoma of the skin",1998,"Males","35–39",233
"Actual","Melanoma of the skin",1998,"Males","40–44",261
"Actual","Melanoma of the skin",1998,"Males","45–49",402
"Actual","Melanoma of the skin",1998,"Males","50–54",467
"Actual","Melanoma of the skin",1998,"Males","55–59",446
"Actual","Melanoma of the skin",1998,"Males","60–64",428
"Actual","Melanoma of the skin",1998,"Males","65–69",503
"Actual","Melanoma of the skin",1998,"Males","70–74",514
"Actual","Melanoma of the skin",1998,"Males","75–79",459
"Actual","Melanoma of the skin",1998,"Males","80–84",244
"Actual","Melanoma of the skin",1998,"Males","85–89",114
"Actual","Melanoma of the skin",1998,"Males","90+",34
"Actual","Melanoma of the skin",1999,"Males","00–04",0
"Actual","Melanoma of the skin",1999,"Males","05–09",2
"Actual","Melanoma of the skin",1999,"Males","10–14",2
"Actual","Melanoma of the skin",1999,"Males","15–19",44
"Actual","Melanoma of the skin",1999,"Males","20–24",69
"Actual","Melanoma of the skin",1999,"Males","25–29",125
"Actual","Melanoma of the skin",1999,"Males","30–34",172
"Actual","Melanoma of the skin",1999,"Males","35–39",245
"Actual","Melanoma of the skin",1999,"Males","40–44",295
"Actual","Melanoma of the skin",1999,"Males","45–49",400
"Actual","Melanoma of the skin",1999,"Males","50–54",445
"Actual","Melanoma of the skin",1999,"Males","55–59",453
"Actual","Melanoma of the skin",1999,"Males","60–64",479
"Actual","Melanoma of the skin",1999,"Males","65–69",497
"Actual","Melanoma of the skin",1999,"Males","70–74",580
"Actual","Melanoma of the skin",1999,"Males","75–79",474
"Actual","Melanoma of the skin",1999,"Males","80–84",289
"Actual","Melanoma of the skin",1999,"Males","85–89",121
"Actual","Melanoma of the skin",1999,"Males","90+",44
"Actual","Melanoma of the skin",2000,"Males","00–04",0
"Actual","Melanoma of the skin",2000,"Males","05–09",0
"Actual","Melanoma of the skin",2000,"Males","10–14",5
"Actual","Melanoma of the skin",2000,"Males","15–19",34
"Actual","Melanoma of the skin",2000,"Males","20–24",71
"Actual","Melanoma of the skin",2000,"Males","25–29",131
"Actual","Melanoma of the skin",2000,"Males","30–34",166
"Actual","Melanoma of the skin",2000,"Males","35–39",229
"Actual","Melanoma of the skin",2000,"Males","40–44",326
"Actual","Melanoma of the skin",2000,"Males","45–49",400
"Actual","Melanoma of the skin",2000,"Males","50–54",470
"Actual","Melanoma of the skin",2000,"Males","55–59",486
"Actual","Melanoma of the skin",2000,"Males","60–64",487
"Actual","Melanoma of the skin",2000,"Males","65–69",489
"Actual","Melanoma of the skin",2000,"Males","70–74",621
"Actual","Melanoma of the skin",2000,"Males","75–79",492
"Actual","Melanoma of the skin",2000,"Males","80–84",296
"Actual","Melanoma of the skin",2000,"Males","85–89",133
"Actual","Melanoma of the skin",2000,"Males","90+",54
"Actual","Melanoma of the skin",2001,"Males","00–04",0
"Actual","Melanoma of the skin",2001,"Males","05–09",0
"Actual","Melanoma of the skin",2001,"Males","10–14",7
"Actual","Melanoma of the skin",2001,"Males","15–19",42
"Actual","Melanoma of the skin",2001,"Males","20–24",54
"Actual","Melanoma of the skin",2001,"Males","25–29",134
"Actual","Melanoma of the skin",2001,"Males","30–34",163
"Actual","Melanoma of the skin",2001,"Males","35–39",238
"Actual","Melanoma of the skin",2001,"Males","40–44",298
"Actual","Melanoma of the skin",2001,"Males","45–49",407
"Actual","Melanoma of the skin",2001,"Males","50–54",515
"Actual","Melanoma of the skin",2001,"Males","55–59",532
"Actual","Melanoma of the skin",2001,"Males","60–64",476
"Actual","Melanoma of the skin",2001,"Males","65–69",543
"Actual","Melanoma of the skin",2001,"Males","70–74",590
"Actual","Melanoma of the skin",2001,"Males","75–79",565
"Actual","Melanoma of the skin",2001,"Males","80–84",329
"Actual","Melanoma of the skin",2001,"Males","85–89",148
"Actual","Melanoma of the skin",2001,"Males","90+",60
"Actual","Melanoma of the skin",2002,"Males","00–04",1
"Actual","Melanoma of the skin",2002,"Males","05–09",0
"Actual","Melanoma of the skin",2002,"Males","10–14",3
"Actual","Melanoma of the skin",2002,"Males","15–19",37
"Actual","Melanoma of the skin",2002,"Males","20–24",76
"Actual","Melanoma of the skin",2002,"Males","25–29",110
"Actual","Melanoma of the skin",2002,"Males","30–34",178
"Actual","Melanoma of the skin",2002,"Males","35–39",228
"Actual","Melanoma of the skin",2002,"Males","40–44",380
"Actual","Melanoma of the skin",2002,"Males","45–49",426
"Actual","Melanoma of the skin",2002,"Males","50–54",538
"Actual","Melanoma of the skin",2002,"Males","55–59",595
"Actual","Melanoma of the skin",2002,"Males","60–64",618
"Actual","Melanoma of the skin",2002,"Males","65–69",542
"Actual","Melanoma of the skin",2002,"Males","70–74",719
"Actual","Melanoma of the skin",2002,"Males","75–79",559
"Actual","Melanoma of the skin",2002,"Males","80–84",363
"Actual","Melanoma of the skin",2002,"Males","85–89",190
"Actual","Melanoma of the skin",2002,"Males","90+",57
"Actual","Melanoma of the skin",2003,"Males","00–04",1
"Actual","Melanoma of the skin",2003,"Males","05–09",0
"Actual","Melanoma of the skin",2003,"Males","10–14",4
"Actual","Melanoma of the skin",2003,"Males","15–19",33
"Actual","Melanoma of the skin",2003,"Males","20–24",56
"Actual","Melanoma of the skin",2003,"Males","25–29",110
"Actual","Melanoma of the skin",2003,"Males","30–34",167
"Actual","Melanoma of the skin",2003,"Males","35–39",232
"Actual","Melanoma of the skin",2003,"Males","40–44",313
"Actual","Melanoma of the skin",2003,"Males","45–49",398
"Actual","Melanoma of the skin",2003,"Males","50–54",543
"Actual","Melanoma of the skin",2003,"Males","55–59",697
"Actual","Melanoma of the skin",2003,"Males","60–64",533
"Actual","Melanoma of the skin",2003,"Males","65–69",544
"Actual","Melanoma of the skin",2003,"Males","70–74",630
"Actual","Melanoma of the skin",2003,"Males","75–79",652
"Actual","Melanoma of the skin",2003,"Males","80–84",406
"Actual","Melanoma of the skin",2003,"Males","85–89",195
"Actual","Melanoma of the skin",2003,"Males","90+",64
"Actual","Melanoma of the skin",2004,"Males","00–04",0
"Actual","Melanoma of the skin",2004,"Males","05–09",0
"Actual","Melanoma of the skin",2004,"Males","10–14",4
"Actual","Melanoma of the skin",2004,"Males","15–19",31
"Actual","Melanoma of the skin",2004,"Males","20–24",79
"Actual","Melanoma of the skin",2004,"Males","25–29",116
"Actual","Melanoma of the skin",2004,"Males","30–34",195
"Actual","Melanoma of the skin",2004,"Males","35–39",206
"Actual","Melanoma of the skin",2004,"Males","40–44",274
"Actual","Melanoma of the skin",2004,"Males","45–49",374
"Actual","Melanoma of the skin",2004,"Males","50–54",494
"Actual","Melanoma of the skin",2004,"Males","55–59",627
"Actual","Melanoma of the skin",2004,"Males","60–64",610
"Actual","Melanoma of the skin",2004,"Males","65–69",629
"Actual","Melanoma of the skin",2004,"Males","70–74",593
"Actual","Melanoma of the skin",2004,"Males","75–79",615
"Actual","Melanoma of the skin",2004,"Males","80–84",487
"Actual","Melanoma of the skin",2004,"Males","85–89",190
"Actual","Melanoma of the skin",2004,"Males","90+",78
"Actual","Melanoma of the skin",2005,"Males","00–04",1
"Actual","Melanoma of the skin",2005,"Males","05–09",2
"Actual","Melanoma of the skin",2005,"Males","10–14",2
"Actual","Melanoma of the skin",2005,"Males","15–19",32
"Actual","Melanoma of the skin",2005,"Males","20–24",58
"Actual","Melanoma of the skin",2005,"Males","25–29",122
"Actual","Melanoma of the skin",2005,"Males","30–34",172
"Actual","Melanoma of the skin",2005,"Males","35–39",227
"Actual","Melanoma of the skin",2005,"Males","40–44",316
"Actual","Melanoma of the skin",2005,"Males","45–49",447
"Actual","Melanoma of the skin",2005,"Males","50–54",523
"Actual","Melanoma of the skin",2005,"Males","55–59",706
"Actual","Melanoma of the skin",2005,"Males","60–64",658
"Actual","Melanoma of the skin",2005,"Males","65–69",678
"Actual","Melanoma of the skin",2005,"Males","70–74",666
"Actual","Melanoma of the skin",2005,"Males","75–79",689
"Actual","Melanoma of the skin",2005,"Males","80–84",507
"Actual","Melanoma of the skin",2005,"Males","85–89",242
"Actual","Melanoma of the skin",2005,"Males","90+",91
"Actual","Melanoma of the skin",2006,"Males","00–04",0
"Actual","Melanoma of the skin",2006,"Males","05–09",0
"Actual","Melanoma of the skin",2006,"Males","10–14",3
"Actual","Melanoma of the skin",2006,"Males","15–19",31
"Actual","Melanoma of the skin",2006,"Males","20–24",60
"Actual","Melanoma of the skin",2006,"Males","25–29",110
"Actual","Melanoma of the skin",2006,"Males","30–34",171
"Actual","Melanoma of the skin",2006,"Males","35–39",224
"Actual","Melanoma of the skin",2006,"Males","40–44",310
"Actual","Melanoma of the skin",2006,"Males","45–49",409
"Actual","Melanoma of the skin",2006,"Males","50–54",500
"Actual","Melanoma of the skin",2006,"Males","55–59",692
"Actual","Melanoma of the skin",2006,"Males","60–64",664
"Actual","Melanoma of the skin",2006,"Males","65–69",691
"Actual","Melanoma of the skin",2006,"Males","70–74",693
"Actual","Melanoma of the skin",2006,"Males","75–79",726
"Actual","Melanoma of the skin",2006,"Males","80–84",476
"Actual","Melanoma of the skin",2006,"Males","85–89",242
"Actual","Melanoma of the skin",2006,"Males","90+",103
"Actual","Melanoma of the skin",2007,"Males","00–04",0
"Actual","Melanoma of the skin",2007,"Males","05–09",0
"Actual","Melanoma of the skin",2007,"Males","10–14",3
"Actual","Melanoma of the skin",2007,"Males","15–19",17
"Actual","Melanoma of the skin",2007,"Males","20–24",56
"Actual","Melanoma of the skin",2007,"Males","25–29",86
"Actual","Melanoma of the skin",2007,"Males","30–34",156
"Actual","Melanoma of the skin",2007,"Males","35–39",191
"Actual","Melanoma of the skin",2007,"Males","40–44",243
"Actual","Melanoma of the skin",2007,"Males","45–49",402
"Actual","Melanoma of the skin",2007,"Males","50–54",528
"Actual","Melanoma of the skin",2007,"Males","55–59",676
"Actual","Melanoma of the skin",2007,"Males","60–64",736
"Actual","Melanoma of the skin",2007,"Males","65–69",707
"Actual","Melanoma of the skin",2007,"Males","70–74",682
"Actual","Melanoma of the skin",2007,"Males","75–79",645
"Actual","Melanoma of the skin",2007,"Males","80–84",539
"Actual","Melanoma of the skin",2007,"Males","85–89",271
"Actual","Melanoma of the skin",2007,"Males","90+",99
"Actual","Melanoma of the skin",2008,"Males","00–04",0
"Actual","Melanoma of the skin",2008,"Males","05–09",1
"Actual","Melanoma of the skin",2008,"Males","10–14",3
"Actual","Melanoma of the skin",2008,"Males","15–19",22
